[(132, 'Pan-Island Expressway'),
 (1, 'Jalan Pulai Mesra 7'),
 (1, 'Jalan Pulai Mesra 6'),
 (1, 'Jalan Pulai Mesra 4'),
 (1, 'Jalan Pulai Mesra 3'),
 (1, 'Jalan Pulai Mesra 2'),
 (1, 'Jalan Pulai Mesra 1'),
 (1, 'Jalan Pulai Jaya 4/7'),
 (1, 'Jalan Pulai Jaya 4/6'),
 (1, 'Jalan Pulai Jaya 4/5'),
 (1, 'Jalan Pulai Jaya 4/4'),
 (1, 'Jalan Pulai Jaya 4/3'),
 (1, 'Jalan Pulai Jaya 4/2'),
 (1, 'Jalan Pulai Jaya 3/8'),
 (1, 'Jalan Pulai Jaya 3/7'),
 (1, 'Jalan Pulai Jaya 3/6'),
 (1, 'Jalan Pulai Jaya 3/5'),
 (1, 'Jalan Pulai Jaya 3/4'),
 (1, 'Jalan Pulai Jaya 3/3'),
 (1, 'Jalan Pulai Jaya 3/2'),
 (1, 'Jalan Pulai Jaya 3/10'),
 (1, 'Jalan Pulai Jaya 3/1'),
 (1, 'Jalan Pulai Jaya 2/9'),
 (1, 'Jalan Pulai Jaya 2/8'),
 (1, 'Jalan Pulai Jaya 2/7'),
 (1, 'Jalan Pulai Jaya 2/6'),
 (1, 'Jalan Pulai Jaya 2/5'),
 (1, 'Jalan Pulai Jaya 2/4'),
 (1, 'Jalan Pulai Jaya 2/3'),
 (1, 'Jalan Pulai Jaya 2/2'),
 (1, 'Jalan Pulai Jaya 2/1'),
 (1, 'Jalan Pulai Jaya 1/4'),
 (1, 'Jalan Pulai Jaya 1/3'),
 (1, 'Jalan Pulai Jaya 1/2'),
 (1, 'Jalan Pulai Jaya 1/1'),
 (1, 'Jalan Pulai Harmoni 4'),
 (1, 'Jalan Pulai Emas 2/8'),
 (1, 'Jalan Pulai Emas 2/7'),
 (1, 'Jalan Pulai Emas 2/6'),
 (1, 'Jalan Pulai Emas 2/5'),
 (1, 'Jalan Pulai Emas 2/4'),
 (1, 'Jalan Pulai Emas 2/3'),
 (1, 'Jalan Pulai Emas 2/2'),
 (1, 'Jalan Pulai Emas 2/19'),
 (1, 'Jalan Pulai Emas 2/18'),
 (1, 'Jalan Pulai Emas 2/17'),
 (1, 'Jalan Pulai Emas 2/16'),
 (1, 'Jalan Pulai Emas 2/15'),
 (1, 'Jalan Pulai Emas 2/12'),
 (1, 'Jalan Pulai Emas 2/11'),
 (1, 'Jalan Pulai Emas 2/10'),
 (1, 'Jalan Pulai Emas 2/1'),
 (1, 'Jalan Pulai Emas 1/9'),
 (1, 'Jalan Pulai Emas 1/8'),
 (1, 'Jalan Pulai Emas 1/7'),
 (1, 'Jalan Pulai Emas 1/24'),
 (1, 'Jalan Pulai Emas 1/23'),
 (1, 'Jalan Pulai Emas 1/22'),
 (1, 'Jalan Pulai Emas 1/21'),
 (1, 'Jalan Pulai Emas 1/20'),
 (1, 'Jalan Pulai Emas 1/19'),
 (1, 'Jalan Pulai Emas 1/18'),
 (1, 'Jalan Pulai Emas 1/17'),
 (1, 'Jalan Pulai Emas 1/16'),
 (1, 'Jalan Pulai Emas 1/15'),
 (1, 'Jalan Pulai Emas 1/14'),
 (1, 'Jalan Pulai Emas 1/13'),
 (1, 'Jalan Pulai Emas 1/12'),
 (1, 'Jalan Pulai Emas 1/11'),
 (1, 'Jalan Pulai Bistari 9'),
 (1, 'Jalan Pulai Bistari 8'),
 (1, 'Jalan Pulai Bistari 7'),
 (1, 'Jalan Pulai Bistari 6'),
 (1, 'Jalan Pulai Bistari 5'),
 (1, 'Jalan Pulai Bistari 4'),
 (1, 'Jalan Pulai Bistari 3'),
 (1, 'Jalan Pulai Bistari 22'),
 (1, 'Jalan Pulai Bistari 21'),
 (1, 'Jalan Pulai Bistari 20'),
 (1, 'Jalan Pulai Bistari 19'),
 (1, 'Jalan Pulai Bistari 18'),
 (1, 'Jalan Pulai Bistari 17'),
 (1, 'Jalan Pulai Bistari 16'),
 (1, 'Jalan Pulai Bistari 11'),
 (1, 'Jalan Pulai Bistari 10'),
 (1, 'Jalan Pulai 9'),
 (1, 'Jalan Pulai 84/9'),
 (1, 'Jalan Pulai 84/7'),
 (1, 'Jalan Pulai 84/5'),
 (1, 'Jalan Pulai 84/3'),
 (1, 'Jalan Pulai 84/1'),
 (1, 'Jalan Pulai 84'),
 (1, 'Jalan Pulai 83/3'),
 (1, 'Jalan Pulai 83/2'),
 (1, 'Jalan Pulai 83/1'),
 (1, 'Jalan Pulai 83'),
 (1, 'Jalan Pulai 82'),
 (1, 'Jalan Pulai 81'),
 (1, 'Jalan Pulai 80'),
 (1, 'Jalan Pulai 8'),
 (1, 'Jalan Pulai 79'),
 (1, 'Jalan Pulai 78'),
 (1, 'Jalan Pulai 77'),
 (1, 'Jalan Pulai 76'),
 (1, 'Jalan Pulai 75'),
 (1, 'Jalan Pulai 74'),
 (1, 'Jalan Pulai 73'),
 (1, 'Jalan Pulai 72'),
 (1, 'Jalan Pulai 71'),
 (1, 'Jalan Pulai 70'),
 (1, 'Jalan Pulai 7'),
 (1, 'Jalan Pulai 67'),
 (1, 'Jalan Pulai 64'),
 (1, 'Jalan Pulai 63'),
 (1, 'Jalan Pulai 62'),
 (1, 'Jalan Pulai 58'),
 (1, 'Jalan Pulai 5'),
 (1, 'Jalan Pulai 42'),
 (1, 'Jalan Pulai 41'),
 (1, 'Jalan Pulai 4'),
 (1, 'Jalan Pulai 39'),
 (1, 'Jalan Pulai 35'),
 (1, 'Jalan Pulai 33'),
 (1, 'Jalan Pulai 31'),
 (1, 'Jalan Pulai 30'),
 (1, 'Jalan Pulai 29'),
 (1, 'Jalan Pulai 28'),
 (1, 'Jalan Pulai 27'),
 (1, 'Jalan Pulai 26'),
 (1, 'Jalan Pulai 25'),
 (1, 'Jalan Pulai 24'),
 (1, 'Jalan Pulai 20'),
 (1, 'Jalan Pulai 2'),
 (1, 'Jalan Pulai 19'),
 (1, 'Jalan Pulai 18'),
 (1, 'Jalan Pulai 16'),
 (1, 'Jalan Pulai 15'),
 (1, 'Jalan Pulai 14'),
 (1, 'Jalan Pulai 13'),
 (1, 'Jalan Pulai 12'),
 (1, 'Jalan Pulai 11'),
 (1, 'Jalan Pulai 10'),
 (1, 'Jalan Pujangga'),
 (1, 'Jalan Pujaan'),
 (1, 'Jalan Pucung 9'),
 (1, 'Jalan Pucung 8'),
 (1, 'Jalan Pucung 7'),
 (1, 'Jalan Pucung 6'),
 (1, 'Jalan Pucung 5'),
 (1, 'Jalan Pucung 4'),
 (1, 'Jalan Pucung 3'),
 (1, 'Jalan Pucung 2'),
 (1, 'Jalan Pucung 10'),
 (1, 'Jalan Pucung 1'),
 (1, 'Jalan Pucung'),
 (1, 'Jalan Pokok Serunai'),
 (1, 'Jalan Pnpm 09/10'),
 (1, 'Jalan Pisang Rastali'),
 (1, 'Jalan Pisang Raja'),
 (1, 'Jalan Pisang Nipah'),
 (1, 'Jalan Pisang Nangka'),
 (1, 'Jalan Pisang Emas'),
 (1, 'Jalan Pisang Berangan'),
 (1, 'Jalan Pipit'),
 (1, 'Jalan Pintau'),
 (1, 'Jalan Pinang 61'),
 (1, 'Jalan Pinang 60'),
 (1, 'Jalan Pinang 59'),
 (1, 'Jalan Pinang 58'),
 (1, 'Jalan Pinang 57'),
 (1, 'Jalan Pinang 55'),
 (1, 'Jalan Pinang 53'),
 (1, 'Jalan Pinang 51'),
 (1, 'Jalan Pinang 4'),
 (1, 'Jalan Pinang 36'),
 (1, 'Jalan Pinang 32'),
 (1, 'Jalan Pinang 30'),
 (1, 'Jalan Pinang 25'),
 (1, 'Jalan Pinang 22'),
 (1, 'Jalan Pinang 21'),
 (1, 'Jalan Pinang 20'),
 (1, 'Jalan Pinang 19'),
 (1, 'Jalan Pinang 18'),
 (1, 'Jalan Pinang 17'),
 (1, 'Jalan Pinang 16'),
 (1, 'Jalan Pinang 15'),
 (1, 'Jalan Pinang'),
 (1, 'Jalan Petri 7'),
 (1, 'Jalan Petri 6'),
 (1, 'Jalan Petri 5/1'),
 (1, 'Jalan Petri 3'),
 (1, 'Jalan Petri 10'),
 (1, 'Jalan Petola'),
 (1, 'Jalan Petai'),
 (1, 'Jalan Pesona 13'),
 (1, 'Jalan Pesawat'),
 (1, 'Jalan Perwira12'),
 (1, 'Jalan Perwira 8'),
 (1, 'Jalan Perwira 4'),
 (1, 'Jalan Perwira 3'),
 (1, 'Jalan Perwira 2'),
 (1, 'Jalan Perwira 19'),
 (1, 'Jalan Perwira 18'),
 (1, 'Jalan Perwira 17'),
 (1, 'Jalan Perwira 16'),
 (1, 'Jalan Perwira 15'),
 (1, 'Jalan Perwira 14'),
 (1, 'Jalan Perwira 13'),
 (1, 'Jalan Perwira 11'),
 (1, 'Jalan Perwira 10'),
 (1, 'Jalan Perwira 1'),
 (1, 'Jalan Perusahaan'),
 (1, 'Jalan Perubatan 47'),
 (1, 'Jalan Perubatan 45'),
 (1, 'Jalan Perubatan 39'),
 (1, 'Jalan Perubatan 38'),
 (1, 'Jalan Perubatan 37'),
 (1, 'Jalan Perubatan 36'),
 (1, 'Jalan Perubatan 35'),
 (1, 'Jalan Perubatan 33'),
 (1, 'Jalan Perubatan 32'),
 (1, 'Jalan Perubatan 31'),
 (1, 'Jalan Perubatan 30'),
 (1, 'Jalan Perubatan 29'),
 (1, 'Jalan Perubatan 27'),
 (1, 'Jalan Perubatan 25'),
 (1, 'Jalan Perubatan 24'),
 (1, 'Jalan Perubatan 23'),
 (1, 'Jalan Perubatan 22'),
 (1, 'Jalan Perubatan 21'),
 (1, 'Jalan Perubatan 20'),
 (1, 'Jalan Perubatan 19'),
 (1, 'Jalan Perubatan 18'),
 (1, 'Jalan Perubatan 16'),
 (1, 'Jalan Perubatan 14'),
 (1, 'Jalan Perubatan 13'),
 (1, 'Jalan Perubatan 1'),
 (1, 'Jalan Pertawai'),
 (1, 'Jalan Pertanian 9'),
 (1, 'Jalan Pertanian 7'),
 (1, 'Jalan Pertanian 6'),
 (1, 'Jalan Pertanian 54'),
 (1, 'Jalan Pertanian 53'),
 (1, 'Jalan Pertanian 51'),
 (1, 'Jalan Pertanian 50'),
 (1, 'Jalan Pertanian 5'),
 (1, 'Jalan Pertanian 49'),
 (1, 'Jalan Pertanian 48'),
 (1, 'Jalan Pertanian 47'),
 (1, 'Jalan Pertanian 46'),
 (1, 'Jalan Pertanian 45'),
 (1, 'Jalan Pertanian 44'),
 (1, 'Jalan Pertanian 43'),
 (1, 'Jalan Pertanian 42'),
 (1, 'Jalan Pertanian 40'),
 (1, 'Jalan Pertanian 4'),
 (1, 'Jalan Pertanian 39'),
 (1, 'Jalan Pertanian 37'),
 (1, 'Jalan Pertanian 35'),
 (1, 'Jalan Pertanian 32'),
 (1, 'Jalan Pertanian 30'),
 (1, 'Jalan Pertanian 29'),
 (1, 'Jalan Pertanian 24'),
 (1, 'Jalan Pertanian 22'),
 (1, 'Jalan Pertanian 21'),
 (1, 'Jalan Pertanian 2'),
 (1, 'Jalan Pertanian 19'),
 (1, 'Jalan Pertanian 18'),
 (1, 'Jalan Pertanian 16'),
 (1, 'Jalan Pertanian 14'),
 (1, 'Jalan Pertanian 13'),
 (1, 'Jalan Pertanian 12'),
 (1, 'Jalan Pertanian 11'),
 (1, 'Jalan Persona 9'),
 (1, 'Jalan Persona 8'),
 (1, 'Jalan Persona 6'),
 (1, 'Jalan Persona 15'),
 (1, 'Jalan Persona 10'),
 (1, 'Jalan Persona'),
 (1, 'Jalan Persisiran Titiwangsa Utama'),
 (1, 'Jalan Persisiran Purnama'),
 (1, 'Jalan Persisiran Pulai Jaya Utara'),
 (1, 'Jalan Persisiran Perling 1'),
 (1, 'Jalan Persiaran Teratai'),
 (1, 'Jalan Persiaran Taratai'),
 (1, 'Jalan Persiaran Sutera'),
 (1, 'Jalan Persiaran Senibong'),
 (1, 'Jalan Persiaran Pulai Perdana 2'),
 (1, 'Jalan Perpat Timbul'),
 (1, 'Jalan Perpaduan 1'),
 (1, 'Jalan Perpaduan'),
 (1, 'Jalan Perms 8/19'),
 (1, 'Jalan Permatang Utama'),
 (1, 'Jalan Permatang 8a'),
 (1, 'Jalan Permatang 7'),
 (1, 'Jalan Permatang 36'),
 (1, 'Jalan Permatang 35'),
 (1, 'Jalan Permatang 34'),
 (1, 'Jalan Permatang 33'),
 (1, 'Jalan Permatang 32'),
 (1, 'Jalan Permatang 31'),
 (1, 'Jalan Permatang 3'),
 (1, 'Jalan Permatang 26'),
 (1, 'Jalan Permatang 25'),
 (1, 'Jalan Permatang 24'),
 (1, 'Jalan Permatang 23'),
 (1, 'Jalan Permatang 22'),
 (1, 'Jalan Permatang 18'),
 (1, 'Jalan Permatang 17'),
 (1, 'Jalan Permatang 16'),
 (1, 'Jalan Permatang 15'),
 (1, 'Jalan Permatang 14'),
 (1, 'Jalan Permatang 13'),
 (1, 'Jalan Permatang 12'),
 (1, 'Jalan Permatang 11'),
 (1, 'Jalan Permata 1'),
 (1, 'Jalan Permas 9/8'),
 (1, 'Jalan Permas 9/7'),
 (1, 'Jalan Permas 9/5'),
 (1, 'Jalan Permas 9/3'),
 (1, 'Jalan Permas 9/2'),
 (1, 'Jalan Permas 9/15'),
 (1, 'Jalan Permas 9/14'),
 (1, 'Jalan Permas 9/13'),
 (1, 'Jalan Permas 9/12'),
 (1, 'Jalan Permas 9/10'),
 (1, 'Jalan Permas 9/1'),
 (1, 'Jalan Permas 9'),
 (1, 'Jalan Permas 8/8'),
 (1, 'Jalan Permas 8/4'),
 (1, 'Jalan Permas 8/2'),
 (1, 'Jalan Permas 8/16'),
 (1, 'Jalan Permas 8/15'),
 (1, 'Jalan Permas 8/14'),
 (1, 'Jalan Permas 8/11'),
 (1, 'Jalan Permas 8/1'),
 (1, 'Jalan Permas 7/8'),
 (1, 'Jalan Permas 7/6'),
 (1, 'Jalan Permas 7/5'),
 (1, 'Jalan Permas 7/4'),
 (1, 'Jalan Permas 7/14'),
 (1, 'Jalan Permas 7/13'),
 (1, 'Jalan Permas 6/6'),
 (1, 'Jalan Permas 6/5'),
 (1, 'Jalan Permas 6/4'),
 (1, 'Jalan Permas 6/3'),
 (1, 'Jalan Permas 6/14'),
 (1, 'Jalan Permas 6/11'),
 (1, 'Jalan Permas 6/10'),
 (1, 'Jalan Permas 6/1'),
 (1, 'Jalan Permas 6'),
 (1, 'Jalan Permas 5/9'),
 (1, 'Jalan Permas 5/7'),
 (1, 'Jalan Permas 5/6'),
 (1, 'Jalan Permas 5/5'),
 (1, 'Jalan Permas 5/29'),
 (1, 'Jalan Permas 5/23'),
 (1, 'Jalan Permas 5/21'),
 (1, 'Jalan Permas 5/20'),
 (1, 'Jalan Permas 5/2'),
 (1, 'Jalan Permas 5/18'),
 (1, 'Jalan Permas 5/16'),
 (1, 'Jalan Permas 5/10'),
 (1, 'Jalan Permas 4/7'),
 (1, 'Jalan Permas 4/6'),
 (1, 'Jalan Permas 4/5'),
 (1, 'Jalan Permas 4/4'),
 (1, 'Jalan Permas 4/3'),
 (1, 'Jalan Permas 4/2'),
 (1, 'Jalan Permas 4/10'),
 (1, 'Jalan Permas 4/1'),
 (1, 'Jalan Permas 3/9'),
 (1, 'Jalan Permas 3/8'),
 (1, 'Jalan Permas 3/7'),
 (1, 'Jalan Permas 3/6'),
 (1, 'Jalan Permas 3/5'),
 (1, 'Jalan Permas 3/4'),
 (1, 'Jalan Permas 3/3'),
 (1, 'Jalan Permas 3/222'),
 (1, 'Jalan Permas 3/21'),
 (1, 'Jalan Permas 3/2'),
 (1, 'Jalan Permas 3/18'),
 (1, 'Jalan Permas 3/17'),
 (1, 'Jalan Permas 3/15'),
 (1, 'Jalan Permas 3/13'),
 (1, 'Jalan Permas 3/10'),
 (1, 'Jalan Permas 3/1'),
 (1, 'Jalan Permas 2/5'),
 (1, 'Jalan Permas 2/2'),
 (1, 'Jalan Permas 2/18'),
 (1, 'Jalan Permas 2/16'),
 (1, 'Jalan Permas 2/14'),
 (1, 'Jalan Permas 2'),
 (1, 'Jalan Permas 16/4'),
 (1, 'Jalan Permas 16/3'),
 (1, 'Jalan Permas 16'),
 (1, 'Jalan Permas 15/8'),
 (1, 'Jalan Permas 15/2'),
 (1, 'Jalan Permas 15/14'),
 (1, 'Jalan Permas 15/12'),
 (1, 'Jalan Permas 15/11'),
 (1, 'Jalan Permas 15'),
 (1, 'Jalan Permas 14/1'),
 (1, 'Jalan Permas 14'),
 (1, 'Jalan Permas 13/8'),
 (1, 'Jalan Permas 13/6'),
 (1, 'Jalan Permas 13/5'),
 (1, 'Jalan Permas 13/4'),
 (1, 'Jalan Permas 13/2'),
 (1, 'Jalan Permas 13/10'),
 (1, 'Jalan Permas 13'),
 (1, 'Jalan Permas 12/9'),
 (1, 'Jalan Permas 12/8'),
 (1, 'Jalan Permas 12/7'),
 (1, 'Jalan Permas 12/6'),
 (1, 'Jalan Permas 12/4'),
 (1, 'Jalan Permas 12/21'),
 (1, 'Jalan Permas 12/2'),
 (1, 'Jalan Permas 12/19'),
 (1, 'Jalan Permas 12/16'),
 (1, 'Jalan Permas 12/14'),
 (1, 'Jalan Permas 12/1'),
 (1, 'Jalan Permas 12'),
 (1, 'Jalan Permas 11/9'),
 (1, 'Jalan Permas 11/8'),
 (1, 'Jalan Permas 11/6'),
 (1, 'Jalan Permas 11/5'),
 (1, 'Jalan Permas 11/23'),
 (1, 'Jalan Permas 11/22'),
 (1, 'Jalan Permas 11/21'),
 (1, 'Jalan Permas 11/19'),
 (1, 'Jalan Permas 11/15'),
 (1, 'Jalan Permas 10/6'),
 (1, 'Jalan Permas 10/5'),
 (1, 'Jalan Permas 10/10'),
 (1, 'Jalan Permas 10/1'),
 (1, 'Jalan Permas 1/9'),
 (1, 'Jalan Permas 1/8'),
 (1, 'Jalan Permas 1/5'),
 (1, 'Jalan Permas 1/4'),
 (1, 'Jalan Permas 1/33'),
 (1, 'Jalan Permas 1/32'),
 (1, 'Jalan Permas 1/31'),
 (1, 'Jalan Permas 1/3'),
 (1, 'Jalan Permas 1/28'),
 (1, 'Jalan Permas 1/27'),
 (1, 'Jalan Permas 1/26'),
 (1, 'Jalan Permas 1/25'),
 (1, 'Jalan Permas 1/24'),
 (1, 'Jalan Permas 1/23'),
 (1, 'Jalan Permas 1/22'),
 (1, 'Jalan Permas 1/2'),
 (1, 'Jalan Permas 1/16'),
 (1, 'Jalan Permas 1/15'),
 (1, 'Jalan Permas 1/14'),
 (1, 'Jalan Permas 1/12'),
 (1, 'Jalan Permas 1/11'),
 (1, 'Jalan Permas 1/10'),
 (1, 'Jalan Permas  11/13'),
 (1, 'Jalan Perkasa 4'),
 (1, 'Jalan Perkasa 3'),
 (1, 'Jalan Perkasa 21'),
 (1, 'Jalan Perkasa 2'),
 (1, 'Jalan Perkasa 14'),
 (1, 'Jalan Perkasa 11'),
 (1, 'Jalan Perkasa 1'),
 (1, 'Jalan Perkasa  22'),
 (1, 'Jalan Perjiranan 11/3'),
 (1, 'Jalan Perjiranan 11/29'),
 (1, 'Jalan Perjiranan 11/28'),
 (1, 'Jalan Perjiranan 11/27'),
 (1, 'Jalan Perjiranan 11/26'),
 (1, 'Jalan Perjiranan 11/24'),
 (1, 'Jalan Perjiranan 11/23'),
 (1, 'Jalan Perjiranan 11/22'),
 (1, 'Jalan Perjiranan 11/2'),
 (1, 'Jalan Perjiranan 11/16'),
 (1, 'Jalan Perjiranan 11/1'),
 (1, 'Jalan Perjiranan 10/25'),
 (1, 'Jalan Perjiranan 10/24'),
 (1, 'Jalan Perjiranan 10/23'),
 (1, 'Jalan Perjiranan 10/22'),
 (1, 'Jalan Perjiranan 10/20'),
 (1, 'Jalan Perindustrian 4'),
 (1, 'Jalan Perindustrian 3'),
 (1, 'Jalan Perindustrian 2'),
 (1, 'Jalan Perindustrian 1'),
 (1, 'Jalan Perikanan'),
 (1, 'Jalan Perhutanan'),
 (1, 'Jalan Perhubungan'),
 (1, 'Jalan Perdana'),
 (1, 'Jalan Perdagangan 9'),
 (1, 'Jalan Perdagangan 8'),
 (1, 'Jalan Perdagangan 7'),
 (1, 'Jalan Perdagangan 6'),
 (1, 'Jalan Perdagangan 5'),
 (1, 'Jalan Perdagangan 4'),
 (1, 'Jalan Perdagangan 3'),
 (1, 'Jalan Perdagangan 16'),
 (1, 'Jalan Perdagangan 15'),
 (1, 'Jalan Perdagangan 14'),
 (1, 'Jalan Perdagangan 12'),
 (1, 'Jalan Perdagangan 11'),
 (1, 'Jalan Perdagangan 10'),
 (1, 'Jalan Perani'),
 (1, 'Jalan Perak 9'),
 (1, 'Jalan Perak 7'),
 (1, 'Jalan Perak 5, Lorong 2'),
 (1, 'Jalan Perak 5, Lorong 1'),
 (1, 'Jalan Perak 5'),
 (1, 'Jalan Perak 3, Lorong 1'),
 (1, 'Jalan Perak 18'),
 (1, 'Jalan Perak 15'),
 (1, 'Jalan Perak 14'),
 (1, 'Jalan Perak 13'),
 (1, 'Jalan Perak 12'),
 (1, 'Jalan Perak 10'),
 (1, 'Jalan Perajurit'),
 (1, 'Jalan Peradun'),
 (1, 'Jalan Penyiaran 9'),
 (1, 'Jalan Penyiaran 8'),
 (1, 'Jalan Penyiaran 6'),
 (1, 'Jalan Penyiaran 53'),
 (1, 'Jalan Penyiaran 52'),
 (1, 'Jalan Penyiaran 49'),
 (1, 'Jalan Penyiaran 47'),
 (1, 'Jalan Penyiaran 46'),
 (1, 'Jalan Penyiaran 43'),
 (1, 'Jalan Penyiaran 41'),
 (1, 'Jalan Penyiaran 40'),
 (1, 'Jalan Penyiaran 4'),
 (1, 'Jalan Penyiaran 39'),
 (1, 'Jalan Penyiaran 38'),
 (1, 'Jalan Penyiaran 36'),
 (1, 'Jalan Penyiaran 34'),
 (1, 'Jalan Penyiaran 33'),
 (1, 'Jalan Penyiaran 31'),
 (1, 'Jalan Penyiaran 30'),
 (1, 'Jalan Penyiaran 3'),
 (1, 'Jalan Penyiaran 29'),
 (1, 'Jalan Penyiaran 27'),
 (1, 'Jalan Penyiaran 25'),
 (1, 'Jalan Penyiaran 24'),
 (1, 'Jalan Penyiaran 23'),
 (1, 'Jalan Penyiaran 21'),
 (1, 'Jalan Penyiaran 19'),
 (1, 'Jalan Penyiaran 18'),
 (1, 'Jalan Penyiaran 15'),
 (1, 'Jalan Penyiaran 14'),
 (1, 'Jalan Penyiaran 11'),
 (1, 'Jalan Penyiaran 10'),
 (1, 'Jalan Penyiaran'),
 (1, 'Jalan Penjara'),
 (1, 'Jalan Penglin 9'),
 (1, 'Jalan Penglin 8'),
 (1, 'Jalan Penglin 6'),
 (1, 'Jalan Penglin 4'),
 (1, 'Jalan Penglin 3'),
 (1, 'Jalan Penglin 13'),
 (1, 'Jalan Penglin 12'),
 (1, 'Jalan Penglin 11'),
 (1, 'Jalan Penglin 1'),
 (1, 'Jalan Penggal 2'),
 (1, 'Jalan Pengga'),
 (1, 'Jalan Penerangan'),
 (1, 'Jalan Pendita'),
 (1, 'Jalan Pendidikan 7'),
 (1, 'Jalan Pendidikan 6'),
 (1, 'Jalan Pendidikan 5'),
 (1, 'Jalan Pendidikan 4'),
 (1, 'Jalan Pendidikan 2'),
 (1, 'Jalan Pendidikan 1'),
 (1, 'Jalan Pendekar 8'),
 (1, 'Jalan Pendekar 7'),
 (1, 'Jalan Pendekar 6'),
 (1, 'Jalan Pendekar 5'),
 (1, 'Jalan Pendekar 4'),
 (1, 'Jalan Pendekar 3'),
 (1, 'Jalan Pendekar 21'),
 (1, 'Jalan Pendekar 20'),
 (1, 'Jalan Pendekar 19'),
 (1, 'Jalan Pendekar 17'),
 (1, 'Jalan Pendekar 16'),
 (1, 'Jalan Pendekar 15'),
 (1, 'Jalan Pendekar 14'),
 (1, 'Jalan Pendekar 13'),
 (1, 'Jalan Pendekar'),
 (1, 'Jalan Penanga 8'),
 (1, 'Jalan Penanga 2'),
 (1, 'Jalan Penanga 18'),
 (1, 'Jalan Penanga 14'),
 (1, 'Jalan Penanga'),
 (1, 'Jalan Penaga 9'),
 (1, 'Jalan Penaga 7'),
 (1, 'Jalan Penaga 5'),
 (1, 'Jalan Penaga 4'),
 (1, 'Jalan Penaga 3'),
 (1, 'Jalan Penaga 16'),
 (1, 'Jalan Penaga 13'),
 (1, 'Jalan Penaga 12'),
 (1, 'Jalan Penaga 10'),
 (1, 'Jalan Penaga 1'),
 (1, 'Jalan Pelita'),
 (1, 'Jalan Pelikat Park Connector'),
 (1, 'Jalan Pelikat'),
 (1, 'Jalan Pelanduk 8'),
 (1, 'Jalan Pelanduk 7'),
 (1, 'Jalan Pelanduk 6'),
 (1, 'Jalan Pelanduk 1'),
 (1, 'Jalan Pelalai'),
 (1, 'Jalan Pelajau'),
 (1, 'Jalan Pelajaran'),
 (1, 'Jalan Pelabuhan'),
 (1, 'Jalan Pekan Ubin'),
 (1, 'Jalan Pekan Nenas Utara'),
 (1, 'Jalan Pekaka 5'),
 (1, 'Jalan Pekaka 4'),
 (1, 'Jalan Pekaka 2'),
 (1, 'Jalan Pekaka 1'),
 (1, 'Jalan Pekaka'),
 (1, 'Jalan Pegawai'),
 (1, 'Jalan Pedoman'),
 (1, 'Jalan Pedada'),
 (1, 'Jalan Paya Mengkuang'),
 (1, 'Jalan Paya Manis'),
 (1, 'Jalan Patin'),
 (1, 'Jalan Pasu'),
 (1, 'Jalan Pasiran'),
 (1, 'Jalan Pasir Pelangi 6'),
 (1, 'Jalan Pasir Pelangi 5'),
 (1, 'Jalan Pasir Pelangi 4'),
 (1, 'Jalan Pasir Pelangi 2'),
 (1, 'Jalan Pasir Pelangi 1'),
 (1, 'Jalan Pasar'),
 (1, 'Jalan Pari Unak'),
 (1, 'Jalan Panti Emas'),
 (1, 'Jalan Panti 5'),
 (1, 'Jalan Panti 4'),
 (1, 'Jalan Panti 3'),
 (1, 'Jalan Panti 2'),
 (1, 'Jalan Panti 1'),
 (1, 'Jalan Panglima 2'),
 (1, 'Jalan Panglima 1/9'),
 (1, 'Jalan Panglima 1/7'),
 (1, 'Jalan Panglima 1/6'),
 (1, 'Jalan Panglima 1/5'),
 (1, 'Jalan Panglima 1/4'),
 (1, 'Jalan Panglima 1/3'),
 (1, 'Jalan Panglima 1/2'),
 (1, 'Jalan Panglima 1/11'),
 (1, 'Jalan Panglima 1/1'),
 (1, 'Jalan Panglima 1'),
 (1, 'Jalan Pangkalan 13'),
 (1, 'Jalan Pangkalan'),
 (1, 'Jalan Pandan Ria Utama'),
 (1, 'Jalan Pandan Ria 7'),
 (1, 'Jalan Pandan Ria 6'),
 (1, 'Jalan Pandan Ria 5'),
 (1, 'Jalan Pandan Ria 3'),
 (1, 'Jalan Pandan Ria 1'),
 (1, 'Jalan Palma Raja 7'),
 (1, 'Jalan Palma Raja 6'),
 (1, 'Jalan Palma Raja 5'),
 (1, 'Jalan Palma Raja 4'),
 (1, 'Jalan Palma Raja 2'),
 (1, 'Jalan Palma Raja 1'),
 (1, 'Jalan Palma Rafie 2'),
 (1, 'Jalan Palma Nibong 4'),
 (1, 'Jalan Palma Nibong 3'),
 (1, 'Jalan Palma Nibong 2'),
 (1, 'Jalan Palma Nibong 1'),
 (1, 'Jalan Palas 9'),
 (1, 'Jalan Palas 8'),
 (1, 'Jalan Palas 7'),
 (1, 'Jalan Palas 6'),
 (1, 'Jalan Palas 5'),
 (1, 'Jalan Palas 4'),
 (1, 'Jalan Palas 3'),
 (1, 'Jalan Palas 25'),
 (1, 'Jalan Palas 24'),
 (1, 'Jalan Palas 22'),
 (1, 'Jalan Palas 21'),
 (1, 'Jalan Palas 19'),
 (1, 'Jalan Palas 18'),
 (1, 'Jalan Palas 17'),
 (1, 'Jalan Palas 15'),
 (1, 'Jalan Palas 14'),
